id,slug,title,subtitle,description,category,status,reraId,developerName,developerLogo,possessionDate,launchDate,address,locality,city,state,latitude,longitude,currency,featuredImage,galleryImages,videoUrl,videoUrls,createdAt,updatedAt,basePrice,priceRange,bannerTitle,bannerSubtitle,bannerDescription,aboutTitle,aboutDescription,sitePlanImage,sitePlanTitle,sitePlanDescription,minRatePsf,maxRatePsf,minUnitArea,maxUnitArea,totalUnits,soldUnits,availableUnits,isTrending,totalClicks,landArea,numberOfApartments,numberOfTowers,numberOfFloors,features,seoDescription,seoKeywords,seoTitle,priceMax,priceMin
0442a99c-6f74-4f69-b564-e0ed491e52ac,bptp-downtown-66,BPTP Downtown 66,,"High-Street Retail & Commercial Spaces on Golf Course Extn Road, Sector 66, Gurgaon"",
  ""description"": ""BPTP Downtown 66 is a premium high-street retail and commercial development located on Golf Course Extension Road in Sector 66, Gurgaon. It offers strategically planned retail shops, showrooms, offices, and F&B spaces with excellent frontage, high visibility, and strong catchment from surrounding luxury residential sectors. The project benefits from seamless connectivity to Golf Course Road, NH-48, Sohna Road, and key business hubs of Gurgaon and South Delhi",COMMERCIAL,UNDER_CONSTRUCTION,,BPTP,,,,"BPTP Downtown 66, Golf Course Extn Rd, Sector 66",Sector 66,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/Screenshot%202026-03-23%20173700.png,,,[],2026-03-23 17:51:09,2026-03-23 17:51:10,2Crore,,,,,,,,,,,,,,,,,false,0,,,,,,,[],,,
049251cb-0089-4e71-8624-88c23074f082,sobha-aranya-sector-80-gurgaon,Sobha Aranya,"Ultra-Luxury Residences in Sector 80, Gurgaon","Sobha Aranya is a new ultra-luxury residential project set within Karma Lakelands, Sector 80, Gurugram. Spread across 31.28 acres amidst 270 acres of biodiverse paradise, the project features 5 high-rise towers soaring up to 46 floors, offering expansive 3 & 4 BHK eco-luxe residences with private gardens, panoramic forest and golf course views, and state-of-the-art green amenities. With an iconic 75,000 sq.ft clubhouse, more than 40 lifestyle features, and advanced eco-sustainability measures, residents enjoy a blend of modern luxury, wellness, and undisturbed tranquility.",RESIDENTIAL,UNDER_CONSTRUCTION,RC/REP/HARERA/GGM/808/540/2024/35,Sobha Limited,,2030-12-31 00:00:00,,"Karma Lakelands, Sector 80, Gurugram",Sector 80,Gurugram,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1757057802538-egbli2srao.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757057813106-dd1mu12ns.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757057813106-rh8u051bfwm.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757057813106-od7e2ob8ths.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757057813106-bkl8l6rmh3.webp""]",https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/videos/1758107370064-hzgbuvxj7gj.mp4,[],2025-09-05 07:37:10.128,2025-11-28 12:06:18.837,7.1 Crore Onwards,,,,,,,,,,,,,,,,,false,16,31.28,524,5,,,"Sobha Aranya in Sector 80 Gurgaon offers luxury apartments with premium amenities, lush greens, and excellent NH-8 connectivity.","[""sobha aranya"",""sector 80"",""gurgaon"",""luxury 3bhk 4bhk""]",Sobha Aranya Sector 80 Gurgaon | Luxury Apartments Near NH-8,,
06e0aa61-ef5c-4892-beec-a5a1df6ec52c,emaar-amaris-sector-62-gurgaon,Emaar Amaris,"Ultra-Luxury Smart Residences in Sector 62, Golf Course Extension Road, Gurgaon","Emaar Amaris is an ultra-luxury residential enclave in Sector 62, Gurgaon, spread across 6.1+ acres with over 80% open spaces. The project features four high-rise towers offering 2, 3, and 4 BHK smart residences equipped with home automation and air purification. With world-class clubhouse, lush landscaping, fitness amenities, and eco-conscious design, Amaris delivers a premium urban experience with seamless city connectivity.",RESIDENTIAL,UNDER_CONSTRUCTION,RC/REP/HARERA/GGM/885/617/2024/112,Emaar India,,2029-12-31 00:00:00,,"Sector 62, Golf Course Extension Road, Gurgaon",Sector 62,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1757509178431-ky5npplrpe9.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757509185210-f9glxns3zni.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757509185210-cli4mioln5m.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757509185211-ke4xu5bjk9s.webp""]",,[],2025-09-10 12:30:30.119,2025-12-01 11:08:59.296,4.2 Crores Onwards,,,,,,,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/location-maps/1757509514152-t7wec4emh8n.webp,,,,,,,,,,false,10,6.1,522,4,,,Emaar Amaris Sector 62 Gurgaon features premium residences near Golf Course Extension Road with world-class lifestyle amenities.,"[""emaar amaris"",""sector 62"",""gurgaon"",""ultra luxury""]",Emaar Amaris Sector 62 Gurgaon | Luxury Residences on GCER,,
0d428cdd-2dcd-46ea-85ec-98471e318483,aditya-birla-pravaah-sector-71-gurgaon,Aditya Birla Pravaah Sector 71,"Ultra-Luxury Residences in Sector 71, Gurgaon","Aditya Birla Pravaah, by Birla Estates, is a premium residential project on Southern Peripheral Road, Sector 71, Gurgaon. Spread across 5.5 acres, it offers high-rise luxury towers with 3, 3.5 & 4 BHK spacious homes, 80% open green spaces, and state-of-the-art amenities. Residents enjoy elegant designs, top-class security, and connectivity to NH-48, Sohna Road, and city landmarks.",RESIDENTIAL,UNDER_CONSTRUCTION,109 OF 2025,Birla Estates,,,,Gurgauon,Sector 71,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/Aditya-birla-pravaah-71.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/Aditya-birla-pravaah-71-3.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/Aditya-birla-pravaah-71-2.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/Aditya-birla-pravaah-71-1.webp""]",https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/videos/WhatsApp%20Video%202025-11-17%20at%2010.59.21%20AM.mp4,[],2025-11-21 15:19:14,2025-12-17 13:27:37.788,3.26 Crores Onwards,,,,,,,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/location-maps/map.webp,,,,,,,,,,false,12,5.25,492,5,,,Aditya Birla Pravaah Sector 71 Gurgaon offers thoughtfully designed premium apartments with modern amenities and strong connectivity.,[],Aditya Birla Pravaah Sector 71 Gurgaon | Premium Homes,,
0ef5cdef-6f02-4591-a386-553534d6cce0,adani-samsara-ivana-sector-63-gurgaon,Adani Samsara Ivana,"Luxury Low-Rise Gated Township in Sector 63, Gurgaon","Adani Samsara Ivana is a premium low-rise residential project by Adani Realty in Sector 63, Golf Course Extension Road, Gurgaon. Spread across 7.5 acres as part of a vast 75-acre township, it offers exclusive 4 BHK independent floors with private lifts, basements or terraces, and high-end amenities. Designed for modern families, the project features world-class facilities, 24x7 security, landscaped gardens, and easy access to Gurgaon's business hubs, schools, and hospitals.",RESIDENTIAL,UNDER_CONSTRUCTION,RC/REP/HARERA/GGM/896/628/2024/123,Adani Realty,,,,"Sector 63, Golf Course Extension Road",Sector 63,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1755863039046-pgoi3vy0ltj.jpg,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1755863049733-grxmqwps0ho.jpg"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1755863049733-ubrne2h40af.jpg"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1755863049733-5ew62ju9j2f.jpg""]",https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/videos/1756660775526-xx29m909ljh.mp4,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/videos/1756882422566-yvrf5ssd3ap.mp4""]",2025-08-22 12:02:49.003,2025-11-28 12:09:49.716,5.2 Crores Onwards,,,,,,,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/location-maps/1756882653298-j78624egmrk.webp,,,,,,,,,,false,11,7.5,260,65,,,Adani Samsara Ivana Sector 63 Gurgaon offers luxury low-rise floors near Golf Course Extension Road with exclusive amenities.,"[""Adani Samsara Ivana"",""Sector 53"",""premium plots villas""]",Adani Samsara Ivana Sector 63 Gurgaon | Luxury Low Rise Floors,,
12ae60bb-6415-427c-86ad-adcb52eb5a8f,anant-raj-estate-residences-sector-63a-gurgaon,Anant Raj Estate Residences,"Ultra-Luxury Residences in Sector 63A, Golf Course Extension Road, Gurgaon","Anant Raj Estate Residences is an ultra-luxury high-rise residential project by Anant Raj Group, occupying 5.5 acres in the heart of Sector 63A, Gurgaon. The project features 4 towers with over 30 floors each, delivering 248 exclusive 4 BHK apartments. Residents enjoy 70% open green spaces, a triple-height grand entrance lobby, private lifts, a 40,000 sq.ft. premium clubhouse, sky lounges, landscaped gardens, multi-tier security, and seamless connectivity to the NCR's major hubs and amenities.",RESIDENTIAL,UNDER_CONSTRUCTION,RC/REP/HARERA/GGM/785/517/2024/12,Anant Raj Group,,2027-12-31 00:00:00,,"Sector 63A, Golf Course Extension Road, Gurgaon",Sector 63A,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1757671980136-h0ggsnnknq6.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757671987597-zpv6kvxd3f.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757671987597-eh70mg2wqmw.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757671987597-fyx7ri871di.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757671987597-ynzrsycj4y.webp""]",,[],2025-09-12 10:13:22.253,2025-11-28 12:10:03.495,7.4 Crore Onwards,,,,,,,,,,,,,,,,,false,11,5.5,248,4,,,Anant Raj Estate Residences Sector 63A Gurgaon offers spacious luxury homes with premium specifications and prime location.,"[""anant raj estate"",""sector 63a"",""4bhk"",""luxury homes""]",Anant Raj Estate Residences Sector 63A Gurgaon | Ultra Luxury Living,,
165ef67e-ef7b-4dde-9a9b-817a92875500,elan-paradise-sector-50-gurgaon,Elan Paradise,"Luxury High Street Commercial in Sector 50, Gurgaon","Elan Paradise is a landmark high street retail and entertainment destination in Sector 50, Nirvana Country, Gurgaon. Developed by Elan Group, this premium project features retail shops, food courts, multiplex, and F&B spaces, offering a vibrant blend of shopping, leisure, and business in one of Gurgaon's most coveted addresses.",COMMERCIAL,UNDER_CONSTRUCTION,GGM/447/179/2021/15,Elan Group,,2025-09-30 00:00:00,,"Sector 50, Nirvana Country",Sector 50,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1758284471344-sqaxqa6djom.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1758284484114-mr0izwcfiqq.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1758284484114-s7znmq0fl4d.webp""]",https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/videos/1758628131990-yej2wgbten.mp4,[],2025-09-19 12:21:32.562,2025-11-28 12:06:38.906,1.11 Crore Onwards,,,,,,,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/location-maps/1758660598531-3qef1p2t5xr.webp,,,,,,,,,,false,9,4,,,4,Premium Retail Space,"Elan Paradise Sector 50 Gurgaon is a premium commercial destination with retail, dining & entertainment spaces.",[],Elan Paradise Sector 50 Gurgaon | High Street Commercial Project,,
20e1a7ff-2d5a-4bb7-b658-2b0c95a02d42,max-estate-360-residences-sector-36a-gurgaon,Max Estate 360 Residences,"Ultra-Luxury 3 & 4 BHK Homes in Sector 36A, Dwarka Expressway, Gurgaon","Max Estate 360 Residences is a landmark luxury project spread across approximately 12 acres in Sector 36A, Dwarka Expressway, Gurgaon. The development features 3 & 4 BHK ultra-luxury apartments with wraparound decks, expansive green views, and IGBC Platinum pre-certification. With 6 high-rise towers (G+38 floors), over 60 amenities, and 1 lakh sq.ft. of wellness facilities, Max Estate 360 offers car-free plazas, advanced automation, and senior living suites by Antara. Residents benefit from seamless metro and expressway connectivity to Delhi, IGI Airport, and all major urban hubs.",RESIDENTIAL,UNDER_CONSTRUCTION,RC/REP/HARERA/GGM/860/592/2024/87,Max Estates Limited,,2030-08-31 00:00:00,,"Sector 36A, Dwarka Expressway, Gurgaon",Sector 36A,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1757400445306-f86w70ogfvn.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757400453273-9bxphp56dj6.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757400453273-r7n9ypu90l.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757400453273-bwyrll6cdyk.webp""]",,[],2025-09-09 06:47:49.819,2025-11-28 12:06:37.562,5.2 Crores Onwards,,,,,,,,,,,,,,,,,false,11,11.8,800,6,,,Max Estate 360 Residences Sector 36A Gurgaon offers premium residences with modern amenities and excellent connectivity.,"[""Max Estate 360 Residences"",""Dwarka Expressway""]",Max Estate 360 Residences Sector 36A Gurgaon | Premium Apartments,,
21f65c22-0ac4-4e2e-92df-029afe926330,emaar-urban-oasis-sector-62-gurgaon,Emaar Urban Oasis,"Luxury Residences in Sector 62, Golf Course Extension Road, Gurgaon","Emaar Urban Oasis offers ultra-luxury 2, 3, and 4 BHK residences spread across 6.64 acres of prime address in Sector 62, Gurgaon. With five high-rise towers up to G+30 floors, the project delivers 424 premium apartments featuring elegant interiors, panoramic city views, double-height lobbies, modular kitchens, and over 1 lakh sq.ft. of clubhouse spaces. Residents experience a perfect blend of modern living, abundant green landscapes, and seamless connectivity to NH-8, Sohna Road, and the international airport.",RESIDENTIAL,UNDER_CONSTRUCTION,HARERA/GGM/741/473/2023/85,Emaar India,,2028-12-31 00:00:00,,"Sector 62, Golf Course Extension Road, Gurgaon",Sector 62,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/featured/1757502563812-5r7zagyo36a.webp,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757502571423-09m1v70zslwc.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757502571423-905ep9dgxrq.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757502571423-w0ic6kidts.webp"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757502571423-ir4tw5nnk8b.webp""]",,[],2025-09-10 11:09:39.321,2025-11-28 12:10:02.89,3.10 Crore Onwards,,,,,,,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/location-maps/1757504432935-notkwvt6aii.webp,,,,,,,,,,false,10,6.64,424,5,,,Emaar Urban Oasis Sector 62 Gurgaon offers low-density luxury apartments near Golf Course Extension Road.,"[""emaar urban oasis"",""gurgaon"",""low rise"",""green homes""]",Emaar Urban Oasis Sector 62 Gurgaon | Luxury Apartments,,
254b6fe9-2325-4bb5-a35d-b214cb88764d,dlf-privana-south-sector-77-gurgaon,DLF Privana South,"Ultra-Luxury Residences in Sector 77, Gurgaon","DLF Privana South is an exclusive ultra-luxury residential development in Sector 77, Gurgaon. The project features spacious 4 BHK apartments and penthouses across 7 high-rise towers on 25 acres, with low-density living, wide party decks, and spectacular views of the Aravallis. Residents enjoy a lavish 1.25 lakh sq.ft. clubhouse, home automation, 3 parking bays per unit (with EV charging), dedicated staff rooms, and 88% green open spaces for an elevated lifestyle.",RESIDENTIAL,UNDER_CONSTRUCTION,116 OF 2023,DLF Ltd.,,2028-06-30 00:00:00,,"Sector 77, Central Peripheral Road",Sector 77,Gurgaon,Haryana,,,INR,https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757512562798-166k4ohlv6s.png,"[""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757512562798-166k4ohlv6s.png"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1757512567758-vlj2pxjrwv.png"",""https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/gallery/1756813629217-5o97ogoq84r.webp""]",https://xsgljyuvykzfzvqwgtev.supabase.co/storage/v1/object/public/property-images/projects/videos/1756818274270-qlfz1fj1mnr.mp4,[],2025-09-10 14:04:36.268,2025-11-28 12:06:08.848,7.5 Crore Onwards,,,,,,,,,,,,,,,,,false,43,25,1113,7,,,DLF Privana South Sector 77 Gurgaon offers luxury high-rise apartments with resort-style amenities and green living.,"[""DLF privana south"",""sector 77"",""floors that are independent""]",DLF Privana South Sector 77 Gurgaon | Luxury High-Rise Apartments,,
